V1,V;I(D1,nA);V(D1)/I(D1,nA)
0;0;
0,01;9,48E-10;10552073,69
0,02;2,13E-09;9398118,297
0,03;3,60E-09;8337725,819
0,04;5,43E-09;7368633,025
0,05;7,71E-09;6487421,836
0,06;1,05E-08;5690226,833
0,07;1,41E-08;4970656,656
0,08;1,85E-08;4328548,121
0,09;2,40E-08;3756389,278
0,1;3,08E-08;3249025,893
0,11;3,93E-08;2801219,378
0,12;4,98E-08;2407750,365
0,13;6,30E-08;2063508,602
0,14;7,94E-08;1763567,421
0,15;9,98E-08;1503242,32
0,16;1,25E-07;1278134,057
0,17;1,57E-07;1084157,412
0,18;1,96E-07;917557,2022
0,19;2,45E-07;774913,4147
0,2;3,06E-07;653137,4394
0,21;3,82E-07;549461,3198
0,22;4,77E-07;461421,8201
0,23;5,95E-07;386840,9045
0,24;7,41E-07;323803,9931
0,25;9,24E-07;270637,1211
0,26;1,15103E-06;225883,8949
0,27;1,43401E-06;188282,9294
0,28;1,78633E-06;156746,261
0,29;2,22497E-06;130339,0769
0,3;2,77108E-06;108260,9686
0,31;3,45101E-06;89828,81759
0,32;4,29753E-06;74461,34105
0,33;5,35147E-06;61665,2675
0,34;6,66365E-06;51023,07234
0,35;8,29734E-06;42182,17499
0,36;1,03313E-05;34845,48405
0,37;1,28637E-05;28763,16893
0,38;1,60165E-05;23725,53503
0,39;1,99418E-05;19556,88229
0,4;2,48289E-05;16110,233
0,41;3,09135E-05;13262,82251
0,42;3,84888E-05;10912,25538
0,43;4,79203E-05;8973,238616
0,44;5,96625E-05;7374,813211
0,45;7,42818E-05;6058,013871
0,46;9,24828E-05;4973,89531
0,47;0,000115143;4081,87129
0,48;0,000143355;3348,319617
0,49;0,00017848;2745,412641
0,5;0,000222209;2250,138478
0,51;0,00027665;1843,483133
0,52;0,000344428;1509,748082
0,53;0,000428809;1235,981645
0,54;0,000533858;1011,505795
0,55;0,000664634;827,5228321
0,56;0,000827437;676,788834
0,57;0,001030103;553,3428109
0,58;0,001282385;452,2822936
0,59;0,001596417;369,5775648
0,6;0,001987294;301,9180136
0,61;0,00247379;246,5851652
0,62;0,003079248;201,3478346
0,63;0,003832685;164,3756158
0,64;0,004770155;134,1675484
0,65;0,005936434;109,4933394
0,66;0,007387098;89,34496014
0,67;0,009191074;72,89681239
0,68;0,011433767;59,47296397
0,69;0,014220877;48,52021516
0,7;0,017683033;39,5859693
0,71;0,021981383;32,30005984
0,72;0,027314285;26,35983371
0,73;0,033925223;21,517913
0,74;0,042112072;17,57215848
0,75;0,052237716;14,35744232
0,76;0,064741976;11,73890651
0,77;0,080154556;9,606440809
0,78;0,099108513;7,87016145
0,79;0,122353325;6,456710511
0,8;0,150766225;5,306228224
0,81;0,185359913;4,369876891
0,82;0,227284264;3,607816868
0,83;0,277819338;2,987553014
0,84;0,338357039;2,482584672
0,85;0,410369449;2,071304291
0,86;0,495363302;1,736099539
0,87;0,594822282;1,462621739
0,88;0,710141376;1,23918987
0,89;0,842559909;1,056304709
0,9;0,993101137;0,906252109
0,91;1,162525969;0,782778213
0,92;1,351306268;0,680822713
0,93;1,559619886;0,596299142
0,94;1,787366045;0,525913538
0,95;2,034196844;0,467014784
0,96;2,299559119;0,417471328
0,97;2,582740777;0,375570018
0,98;2,882916591;0,339933525
0,99;3,199189904;0,30945334
1;3,530628183;0,283235716
1,01;3,876291652;0,260558309
1,02;4,235255145;0,240835549
1,03;4,606623872;0,223591079
1,04;4,989544062;0,208435879
1,05;5,383208634;0,195050958
1,06;5,786864196;0,183173471
1,07;6,199806403;0,172586034
1,08;6,621383271;0,163107912
1,09;7,050992487;0,154588166
1,1;7,488078917;0,146900161
1,11;7,93213174;0,139937161
1,12;8,382681385;0,1336088
1,13;8,839296432;0,127838229
1,14;9,301580564;0,122559816
1,15;9,769169649;0,117717272
1,16;10,24172898;0,113262126
1,17;10,7189507;0,109152475
1,18;11,20055145;0,105351956
1,19;11,68627017;0,101828897
1,2;12,17586608;0,098555617
1,21;12,66911692;0,095507841
1,22;13,16581727;0,092664206
1,23;13,66577704;0,090005859
1,24;14,16882016;0,087516108
1,25;14,6747833;0,085180133
1,26;15,18351482;0,082984738
1,27;15,69487372;0,080918141
1,28;16,20872878;0,078969796
1,29;16,7249577;0,07713024
1,3;17,24344639;0,075390961
1,31;17,76408826;0,073744286
1,32;18,28678366;0,072183279
1,33;18,8114393;0,070701661
1,34;19,33796774;0,069293734
1,35;19,86628696;0,067954319
1,36;20,39631992;0,066678695
1,37;20,92799421;0,065462556
1,38;21,46124167;0,064301965
1,39;21,9959981;0,063193313
1,4;22,53220299;0,062133294
1,41;23,0697992;0,061118867
1,42;23,60873279;0,060147235
1,43;24,14895273;0,059215818
1,44;24,69041076;0,058322237
1,45;25,23306117;0,057464292
1,46;25,77686062;0,056639946
1,47;26,32176801;0,055847312
1,48;26,86774433;0,055084639
1,49;27,41475251;0,054350299
1,5;27,96275729;0,053642779
